69,50,-1,72,74,73,73,74,84,-1,48,49,50,-1,73,84,-1,72,48,49,41,49
49,50,84,30,-1,74,74,73,-1,29,48,49,50,84,-1,73,84,-1,48,49,49,49
49,50,-1,-1,73,74,-1,74,84,-1,48,49,50,-1,73,72,74,-1,48,49,56,57
49,50,-1,-1,-1,-1,30,30,-1,72,48,42,50,-1,30,-1,-1,30,48,49,68,69
49,50,-1,29,36,37,37,37,37,37,26,42,50,84,-1,-1,29,-1,48,41,49,49
49,50,29,-1,48,41,42,49,49,56,57,49,50,-1,-1,-1,30,29,48,49,41,49
49,50,-1,72,48,56,57,42,49,68,69,49,50,-1,30,36,25,25,26,49,41,49
49,50,-1,-1,48,68,69,49,49,49,41,49,50,-1,-1,48,41,49,56,57,49,42
61,62,84,30,60,61,61,61,61,61,61,61,62,29,-1,48,49,49,68,69,53,54
29,-1,-1,-1,-1,-1,-1,29,-1,-1,29,-1,29,30,-1,48,49,49,42,49,65,66
-1,30,-1,-1,-1,-1,-1,-1,-1,-1,29,30,-1,-1,30,48,49,41,49,49,77,78
30,-1,29,-1,-1,30,30,-1,-1,-1,-1,-1,29,-1,-1,48,49,49,49,49,49,49
37,37,37,37,37,38,-1,-1,-1,-1,-1,-1,-1,43,44,48,53,54,55,49,42,56
49,49,42,49,42,50,-1,-1,-1,-1,-1,-1,29,43,44,48,65,66,67,41,49,68
49,53,54,55,49,50,-1,-1,-1,-1,-1,-1,-1,44,43,48,77,78,79,42,49,49
