42,49,49,49,68,69,41,49,42,12,-1,30,14,49,65,66,67,41,49,49,49,49
56,57,41,49,49,49,49,41,49,12,-1,-1,14,49,77,78,79,49,49,53,54,55
68,69,0,1,1,1,1,1,1,62,30,-1,14,41,49,41,42,56,57,65,66,67
49,41,12,-1,30,29,-1,-1,-1,-1,-1,-1,14,49,49,41,49,68,69,77,78,79
49,49,12,30,-1,-1,-1,29,-1,-1,-1,-1,60,61,61,61,61,61,2,49,42,41
1,1,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,29,-1,-1,-1,-1,60,1,1,1
44,43,44,-1,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,-1,-1
43,44,44,-1,29,-1,-1,-1,-1,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
37,37,38,-1,-1,-1,-1,30,29,-1,-1,-1,-1,-1,-1,29,-1,-1,-1,36,37,37
57,41,12,-1,-1,-1,29,-1,-1,-1,-1,-1,-1,-1,30,-1,29,30,-1,14,56,57
69,49,24,25,25,25,25,38,-1,-1,-1,-1,-1,-1,-1,-1,36,37,37,26,68,69
53,54,55,41,49,49,42,12,-1,-1,-1,-1,30,-1,-1,-1,14,56,57,49,41,49
65,66,67,49,49,42,49,24,25,25,25,25,25,25,25,25,26,68,69,49,42,42
77,78,79,49,56,57,41,49,49,49,49,49,42,53,54,55,49,49,41,49,49,49
42,49,49,49,68,69,49,53,54,55,41,49,49,65,66,67,41,49,49,42,49,49
