49,42,68,69,49,50,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
41,49,49,42,49,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
61,61,61,61,61,62,44,44,43,-1,-1,-1,-1,30,-1,-1,-1,29,-1,-1,-1,-1
-1,29,-1,-1,-1,43,44,44,43,-1,-1,-1,-1,-1,-1,29,-1,-1,-1,-1,-1,-1
30,-1,-1,-1,-1,44,43,44,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,30,-1,-1,-1,-1,-1,-1,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,29,-1,-1,-1,-1,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,43,43,44,43,36,37,37,37
-1,-1,-1,-1,-1,29,-1,-1,-1,-1,-1,-1,-1,43,44,44,43,44,48,49,41,49
37,37,38,30,-1,30,29,-1,-1,-1,-1,-1,-1,43,43,36,37,37,26,49,53,54
42,49,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,44,48,42,49,41,49,65,66
41,49,50,-1,-1,-1,-1,-1,29,-1,-1,-1,-1,43,43,48,49,49,42,49,77,78
56,57,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,-1,48,56,57,49,49,49,49
68,69,50,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,-1,48,68,69,49,49,49,42
49,42,50,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,48,49,41,49,53,54,55
